year,province,city,status,source,medical,medical_note,hospital_meal,hospital_meal_note,accommodation,accommodation_note,nutrition,nutrition_note,care,care_note,lost_work,lost_work_note,traffic,traffic_note,follow_up,follow_up_note,disability_base,disability_base_note,death_base,death_base_note,notes
2026,北京市,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,天津市,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,河北省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,山西省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,内蒙古自治区,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,辽宁省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,吉林省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,黑龙江省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,上海市,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,江苏省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,浙江省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,安徽省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,福建省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,江西省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,山东省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,河南省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,湖北省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,湖南省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,广东省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,广东省,潮州市,待添加,官方标准,200,实报实销,,,,,,,,,,,,,,,,,,,
2026,广西壮族自治区,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,海南省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,重庆市,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,四川省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,贵州省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,云南省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,西藏自治区,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,陕西省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,甘肃省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,青海省,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,宁夏回族自治区,,待添加,,,,,,,,,,,,,,,,,,,,,,
2026,新疆维吾尔自治区,,待添加,,,,,,,,,,,,,,,,,,,,,,
